what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1649507932627
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1649507932628
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1649507932628
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1649507932628
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1649507932629
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1649507932629
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1649507932629
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1649507932630
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1649507932630
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1649507932631
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1649507932632
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1649507932632
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1649507932632
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1649507932633
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1649507932633
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1649507932633
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1649507932634
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1649507932634
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1649507932634
os,sysinfo,,,"win32",1649507932636
arch,sysinfo,,,"x86",1649507932636
ws,sysinfo,,,"win32",1649507932636
locale,sysinfo,,,"zh_CN",1649507932636
processors,sysinfo,,,"16",1649507932636
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1649507932636
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1649507932636
java.specification.name,sysinfo,,,"Java Platform API Specification",1649507932636
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1649507932636
java.specification.version,sysinfo,,,"1.6",1649507932636
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1649507932636
java.version,sysinfo,,,"1.6.0_23",1649507932636
java.vm.info,sysinfo,,,"mixed mode",1649507932636
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1649507932636
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1649507932636
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1649507932636
java.vm.specification.version,sysinfo,,,"1.0",1649507932636
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1649507932636
java.vm.version,sysinfo,,,"19.0-b09",1649507932636
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1649507932948
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1649507933273
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649507952693
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1649507953394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649507953729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649507956613
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649507956646
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1649507966396
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1649507966593
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1649507966594
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1649507966597
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1649507968028
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1649507968803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649507969115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649507970483
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1649507970506
error,log,,,"No Byte Stream Services found for Nios II Console View",1649507981237
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1649507981432
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1649507981437
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1649507981438
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1649507981439
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1649507981443
started,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1649507989236
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1649507989240
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1649507989241
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1649507989566
